[0.00s -> 5.20s]  Good afternoon, everyone.
[5.76s -> 14.84s]  We'll continue with the discussion on approaches to prompt engineering or prompting.
[14.84s -> 30.02s]  So, I copy here the list of methods or approaches to prompting engineering.
[30.24s -> 32.14s]  So, I divide it into two lists.
[34.02s -> 40.58s]  This is the approaches that deal with reasoning and logic.
[43.34s -> 44.82s]  The reasoning.
[44.84s -> 49.74s]  And there are so many of them here.
[50.32s -> 55.74s]  It's because of the early generation of AIM.
[56.42s -> 65.58s]  They are known for not being able to do any of the reasoning tasks.
[65.58s -> 72.92s]  So, as a result, so many approaches have been developed.
[73.70s -> 74.58s]  So, that's...
[74.84s -> 81.24s]  And for now, so in this class, I do not intend to...
[81.24s -> 84.18s]  That we are going over all of them.
[85.06s -> 88.70s]  We'll select a few more to discuss.
[88.70s -> 99.32s]  And you are welcome to follow the survey and study about the rest.
[99.80s -> 103.70s]  And then the other type of prompting...
[104.84s -> 118.90s]  We have to deal with, like, reduce hallucination or creating, like, active prompt or fine-tuning and knowledge-based reasoning and so on and so forth.
[118.90s -> 128.96s]  So, we'll go over only a few of them, but discuss more about the code generation and execution, for example.
[131.38s -> 134.76s]  And then, so we'll have that.
[134.84s -> 135.32s]  For today.
[135.66s -> 135.84s]  Okay?
[136.64s -> 148.10s]  So, let us hear a quick preview of the two things that I think that will be quite important for us to understand.
[148.10s -> 149.06s]  Yeah.
[149.68s -> 152.10s]  I observed that the current...
[153.62s -> 163.96s]  Last language model, such as Germanic, it already embedded a chain of thought as a default mode.
[163.96s -> 164.38s]  Okay.
[164.38s -> 169.82s]  So, we'll see here in this demonstration.
[170.34s -> 176.38s]  So, let's hear.
[183.10s -> 191.02s]  So, in the previous classes, we say that we need to provide the step-by-step.
[191.02s -> 194.02s]  But when I ask this question...
[194.38s -> 204.10s]  How many apples are left if I had 10 and gave two to Bob and both gave one back, right?
[204.10s -> 217.36s]  So, I did not ask for, like, the model, not the AI, to do any analysis or something like that.
[217.44s -> 224.34s]  But it basically thinks exactly the way that the chain of thought prompting.
[224.34s -> 224.50s]  Go.
[224.50s -> 228.30s]  I would ask to go step-by-step, right?
[228.36s -> 231.34s]  So, here's the breakdown.
[232.00s -> 233.74s]  So, here's the first answer.
[234.06s -> 236.92s]  And it comes with this breakdown.
[238.58s -> 239.50s]  You start.
[239.62s -> 241.30s]  So, I start with 10 apples.
[241.56s -> 242.32s]  I gave it two.
[242.64s -> 243.64s]  I had two to Bob.
